parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-59-01-20-000,1235 SWINGLE ST,"$33,500.00",1,1905,2,1,0,784,YES,392
81-59-02-09-000,48 GLESSNER AVE,"$25,100.00",1,1900,2,1,0,919,YES,336
81-59-02-11-000,56 GLESSNER AVE,"$12,400.00",1,1901,2,1,0,720,YES,360
81-59-03-02-000,55 GLESSNER AVE,"$19,200.00",1,1901,2,1,0,924,YES,924
81-59-03-03-000,51 GLESSNER AVE,"$28,200.00",1,1918,2,1,0,896,YES,896
81-59-03-07-000,27 GLESSNER AVE,"$13,900.00",1,1918,2,1,0,840,YES,840
81-59-03-10-000,15 GLESSNER AVE,$400.00,,,,,,,,
81-59-03-21-000,1152 WHEELING AVE,"$22,000.00",2,1865,4,2,0,1656,YES,288
81-59-03-30-000,1112 WHEELING AVE,"$1,400.00",,,,,,,,
81-59-03-31-000,WHEELING AVE,"$1,400.00",,,,,,,,
