parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-52-01-38-000,1109 GRANT ST,$600.00,,,,,,,,
81-52-01-41-000,1123 GRANT ST,$800.00,,,,,,,,
81-52-03-04-000,968 MARIETTA ST,"$3,300.00",,,,,,,,
81-52-03-06-000,216 SPURK ST,"$2,000.00",,,,,,,,
81-52-03-07-000,220 SPURK ST,"$1,600.00",,,,,,,,
81-52-03-08-000,916 SHARON AVE,"$2,000.00",,,,,,,,
81-48-02-02-000,370 FISHERS LN,"$1,500.00",,,,,,,,
81-49-01-11-000,FISHER LN,$800.00,,,,,,,,
81-49-01-14-000,FISHERS LN,"$2,100.00",,,,,,,,
81-49-01-18-000,341 FISHERS LN,"$1,000.00",,,,,,,,
