parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-52-04-10-000,1089 SHARON AVE,"$1,000.00",,,,,,,,
81-52-04-15-000,1074 GRANT ST,$100.00,,,,,,,,
81-52-04-22-000,1051 SHARON AVE,"$20,700.00",1,1995,3,1,0,936,NO,0
81-52-04-25-000,SHARON AVE,$500.00,,,,,,,,
81-51-04-07-000,940 HUGHES ST,"$2,300.00",,,,,,,,
81-51-04-11-000,HUGHES ST,$500.00,,,,,,,,
81-51-04-14-000,914 HUGHES ST,$400.00,,,,,,,,
81-51-04-17-000,310 WAYNE AVE,"$1,300.00",,,,,,,,
81-51-04-24-000,330 WAYNE AVE,$900.00,,,,,,,,
81-51-04-26-000,330 WAYNE AVE,$600.00,,,,,,,,
