parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-59-03-20-000,1156 WHEELING AVE,"$24,400.00",1,1901,2,1,0,1254,YES,464
81-59-03-29-000,1112 WHEELING AVE,"$40,900.00",2,1926,4,1,1,1734,YES,840
81-59-03-32-000,WHEELING AVE,"$4,800.00",,,,,,,,
81-60-01-11-000,34 CERAMIC AVE,"$49,400.00",1,1910,3,1,0,1164,YES,588
81-60-03-08-000,1276 WHEELING AVE,"$55,700.00",2,1930,4,1,1,1680,YES,848
81-60-03-09-000,18 GREEN ST,"$38,300.00",1,1913,3,1,0,932,YES,1022
81-60-03-10-000,24 GREEN ST,"$46,900.00",1,1930,2,2,0,780,YES,876
81-60-03-14-000,38 GREEN ST,"$21,200.00",2,1900,2,1,0,1064,YES,196
81-60-03-19-000,58 GREEN ST,"$33,800.00",2,1900,3,1,0,1344,YES,672
81-60-03-20-000,66 GREEN ST,"$47,100.00",1.5,1925,2,1,0,1144,YES,572
