parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-59-03-28-000,1116 WHEELING AVE,"$32,700.00",1,1901,2,1,0,1080,YES,1080
81-60-01-08-000,18 CERAMIC AVE,"$52,000.00",1,1929,3,1,0,960,YES,944
81-58-02-15-001,955 SILLIMAN ST,"$93,400.00",1,2009,3,2,0,1196,YES,1196
81-58-02-17-000,974 GREENWOOD AVE,$900.00,,,,,,,,
81-58-02-18-000,941 SILLIMAN ST,"$17,100.00",2,1908,4,2,0,1846,YES,1106
81-58-02-21-000,964 GREENWOOD AVE,"$24,490.00",2,1901,4,1,0,1937,YES,923
81-58-02-26-000,MAIN ST E,"$776,800.00",,,,,,,,
81-58-02-30-000,995 MAIN ST E,$300.00,,,,,,,,
81-58-02-31-000,995 MAIN ST E,"$1,200.00",,,,,,,,
81-58-02-33-000,1001 E MAIN ST,"$16,300.00",1,1890,1,1,0,876,YES,876
