parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-54-01-04-000,1439 SHARON AVE,"$77,200.00",2,1880,4,2,0,2292,NO,0
81-54-01-06-000,1427 SHARON AVE,"$54,600.00",1,1920,2,1,0,1344,YES,672
81-54-01-09-000,1403 SHARON AVE,"$44,600.00",1,1890,2,1,0,1240,YES,736
81-54-01-13-000,1371 SHARON AVE,"$46,800.00",1,1885,3,1,0,1142,YES,827
81-54-01-18-000,1355 SHARON AVE,"$36,700.00",1,1901,2,1,0,1036,YES,518
81-54-01-20-000,1341 SHARON AVE,"$62,200.00",2,1901,3,1,0,1788,YES,315
81-52-04-16-000,1068 GRANT ST,"$21,700.00",1,1901,3,1,0,804,YES,402
81-52-04-32-000,1022 SHARON AVE,$700.00,,,,,,,,
81-52-05-02-000,323 FISHER LN,"$54,700.00",1,1930,3,1,0,1324,YES,780
81-52-05-26-000,972 HUGHES ST,"$33,500.00",1,1905,2,1,0,896,YES,336
