parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-52-04-34-000,SHARON AVE,$100.00,,,,,,,,
81-52-04-36-000,1007 SHARON AVE,"$1,000.00",,,,,,,,
81-52-05-01-000,329 FISHER LN,"$2,400.00",,,,,,,,
81-52-05-06-000,SHARON AVE,$700.00,,,,,,,,
81-52-05-12-000,1078 SHARON AVE,"$52,200.00",,,,,,,,
81-52-05-21-000,1030 SHARON AVE,"$1,100.00",,,,,,,,
81-52-05-34-000,SHARON AVE,"$14,400.00",,,,,,,,
81-53-01-01-000,1290 MOORE ST,"$54,300.00",2,1901,2,1,0,1184,YES,700
81-53-01-06-000,MOORE ST,$710.00,,,,,,,,
81-53-01-08-000,MOORE AVE,$700.00,,,,,,,,
