parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
17-19-03-03-000,3925 GORSKY DR,"$80,600.00",,,,,,,,
17-19-03-05-003,3761 NORTHPOINTE DR,"$1,501,200.00",,,,,,,,
17-19-03-05-004,3934 TARYN TRACE,"$1,081,400.00",,,,,,,,
17-19-03-05-704,3934 TARYN TRACE,"$845,900.00",,,,,,,,
17-19-03-37-700,MAPLE AVE,"$512,400.00",,,,,,,,
17-19-03-40-000,1460 COLBURN DR,"$214,800.00",2,2000,4,2,1,2560,YES,1260
17-19-03-55-000,1435 COLBURN DR,"$263,600.00",2,1973,5,3,0,3000,YES,1500
17-19-03-60-000,1353 DONOVAN WAY,"$252,600.00",1,2004,3,2,1,2084,YES,2066
17-19-03-62-000,1375 DONOVAN WAY,"$242,400.00",1.25,2003,3,2,0,2800,YES,1936
17-19-03-04-002,MAPLE AVE,"$303,300.00",,,,,,,,
